report_code,report_title,zone_name,fight_id,fight_name,difficulty,kill,fight_percentage,boss_percentage,last_phase,duration_seconds,start_time_utc,end_time_utc,start_time_epoch_ms
tDp3GvkCJWmhzfN8,Dancing Mad (Ultimate) ,Dancing Mad,37,Dancing Mad,100,False,85.54,77.7,2,271.0,2026-06-05T20:30:04.125000+00:00,2026-06-05T20:34:35.125000+00:00,1780691404125
tDp3GvkCJWmhzfN8,Dancing Mad (Ultimate) ,Dancing Mad,38,Dancing Mad,100,False,95.86,58.61,1,94.2,2026-06-05T20:35:07.985000+00:00,2026-06-05T20:36:42.215000+00:00,1780691707985
tDp3GvkCJWmhzfN8,Dancing Mad (Ultimate) ,Dancing Mad,39,Dancing Mad,100,False,97.6,76.04,1,56.8,2026-06-05T20:36:59.654000+00:00,2026-06-05T20:37:56.463000+00:00,1780691819654
tDp3GvkCJWmhzfN8,Dancing Mad (Ultimate) ,Dancing Mad,40,Dancing Mad,100,False,86.67,83.37,2,270.1,2026-06-05T20:38:13.866000+00:00,2026-06-05T20:42:43.918000+00:00,1780691893866
tDp3GvkCJWmhzfN8,Dancing Mad (Ultimate) ,Dancing Mad,41,Dancing Mad,100,False,92.32,23.24,1,199.4,2026-06-05T20:43:05.973000+00:00,2026-06-05T20:46:25.373000+00:00,1780692185973
tDp3GvkCJWmhzfN8,Dancing Mad (Ultimate) ,Dancing Mad,42,Dancing Mad,100,False,85.86,79.31,2,281.8,2026-06-05T20:46:42.659000+00:00,2026-06-05T20:51:24.478000+00:00,1780692402659
tDp3GvkCJWmhzfN8,Dancing Mad (Ultimate) ,Dancing Mad,43,Dancing Mad,100,False,97.27,72.74,1,63.9,2026-06-05T20:52:08.129000+00:00,2026-06-05T20:53:12.004000+00:00,1780692728129
tDp3GvkCJWmhzfN8,Dancing Mad (Ultimate) ,Dancing Mad,44,Dancing Mad,100,False,83.52,67.6,2,288.4,2026-06-05T20:53:29.927000+00:00,2026-06-05T20:58:18.353000+00:00,1780692809927
tDp3GvkCJWmhzfN8,Dancing Mad (Ultimate) ,Dancing Mad,45,Dancing Mad,100,False,85.33,76.69,2,264.9,2026-06-05T20:58:40.659000+00:00,2026-06-05T21:03:05.592000+00:00,1780693120659
KRqJnQhk6G2FNWyT,Dancing Mad (Ultimate) P2 prog,Dancing Mad,1,Striking Dummy,,,,,0,28.3,2026-06-07T17:33:12.039000+00:00,2026-06-07T17:33:40.322000+00:00,1780853592039
KRqJnQhk6G2FNWyT,Dancing Mad (Ultimate) P2 prog,Dancing Mad,2,Striking Dummy,,,,,0,24.4,2026-06-07T17:40:22.143000+00:00,2026-06-07T17:40:46.555000+00:00,1780854022143
KRqJnQhk6G2FNWyT,Dancing Mad (Ultimate) P2 prog,Dancing Mad,3,Striking Dummy,,,,,0,24.3,2026-06-07T17:44:22.939000+00:00,2026-06-07T17:44:47.201000+00:00,1780854262939
KRqJnQhk6G2FNWyT,Dancing Mad (Ultimate) P2 prog,Dancing Mad,4,Striking Dummy,,,,,0,67.1,2026-06-07T17:46:24.719000+00:00,2026-06-07T17:47:31.846000+00:00,1780854384719
KRqJnQhk6G2FNWyT,Dancing Mad (Ultimate) P2 prog,Dancing Mad,5,Striking Dummy,,,,,0,24.0,2026-06-07T17:48:39.128000+00:00,2026-06-07T17:49:03.094000+00:00,1780854519128
KRqJnQhk6G2FNWyT,Dancing Mad (Ultimate) P2 prog,Dancing Mad,6,Striking Dummy,,,,,0,23.5,2026-06-07T17:52:39.214000+00:00,2026-06-07T17:53:02.747000+00:00,1780854759214
KRqJnQhk6G2FNWyT,Dancing Mad (Ultimate) P2 prog,Dancing Mad,7,Striking Dummy,,,,,0,24.2,2026-06-07T17:55:00.712000+00:00,2026-06-07T17:55:24.918000+00:00,1780854900712
KRqJnQhk6G2FNWyT,Dancing Mad (Ultimate) P2 prog,Dancing Mad,8,Dancing Mad,100,False,95.5,55.05,1,97.4,2026-06-07T18:03:10.025000+00:00,2026-06-07T18:04:47.405000+00:00,1780855390025
KRqJnQhk6G2FNWyT,Dancing Mad (Ultimate) P2 prog,Dancing Mad,9,Dancing Mad,100,False,96.77,67.73,1,149.8,2026-06-07T18:05:07.521000+00:00,2026-06-07T18:07:37.311000+00:00,1780855507521
